section_id,real_mean_depth_m,element_area_m2
0,-0.05976399999999993,6792.2573652596
1,-0.03592087499999996,6972.932519828823
2,0.0015283333333324656,6781.711028221891
3,0.02785016666666662,7053.755730607081
4,0.06879208333333375,8482.839865878295
5,0.10276133333333304,6622.016847817066
6,0.14150783333333328,8118.114318011172
7,0.18428066666666654,12191.400810796642
8,0.21566649999999976,10965.187948266672
9,0.2600345833333333,10846.039464966812
10,0.30415400000000004,15667.763981522372
11,0.3527210000000003,12548.006262012506
12,0.39716166666666686,9211.716183655095
13,0.4231905,6040.299419116819
14,0.459643583333333,9585.064348102227
15,0.4951773333333329,10749.849786451976
16,0.5359968333333334,9435.326511982783
17,0.569480833333333,7844.814197131002
18,0.6006878333333332,8707.008351151608
19,0.6326939166666672,8297.76250244737
20,0.6579443333333326,9264.805326614376
21,0.6951941666666666,11646.16380157696
22,0.7371032500000001,10780.576909313297
23,0.7609572500000001,13198.520772844116
24,0.8146939166666667,9632.42394683142
25,0.8313330833333334,11458.719988129405
26,0.8538703333333335,13739.735062510495
27,0.9033133333333336,10896.24696166717
28,0.9239760000000001,13781.082177952818
29,0.9466282499999994,12864.146309134074
30,1.0022879999999996,18787.77584137808
31,1.0519303333333334,16408.567631219816
32,1.0980919999999998,18566.80610205759
33,1.1497755,17879.753866694093
34,1.1808996666666665,23622.29453806976
35,1.2300679999999997,21910.194501394395
36,1.2793881666666667,18004.42415909931
37,1.3210293333333332,19583.59377657454
38,1.3630135833333337,19654.81506486133
39,1.397863333333333,21182.81116568516
40,1.431701083333333,25551.398178456664
41,1.4758487500000004,25109.088599973984
42,1.4997457500000002,24060.906187706467
43,1.5565520833333335,27787.543130487808
44,1.578185,25562.895904864767
45,1.5996206666666661,18501.537351218773
46,1.6614459166666662,18554.684884405957
47,1.596701916666667,29877.46812332655
48,1.4698514166666672,38069.95060513694
49,1.4637171666666666,41037.999590409374
50,1.382418083333333,47935.34463415203
51,1.3757031666666673,47370.91950001512
52,1.3942948333333338,42641.11371157602
53,1.329010916666666,39616.52995105329
54,1.3659943333333326,41000.00612192442
55,1.3982699999999997,42443.409570970056
56,1.4462475833333328,41049.19913644815
57,1.5145199999999996,42961.13737650222
58,1.5063689999999998,30437.09297989262
59,1.5933428333333333,43668.01664552501
60,1.7984538333333338,37521.119303629464
61,2.2107385833333324,25449.19484529925
62,2.200701666666667,38074.72021688134
63,2.6347756666666666,29278.22283411146
64,2.544789,35208.64028487901
65,2.0565606666666674,48005.67732191956
66,2.135247125,27415.346085126275
67,2.4554271249999995,35722.233436159775
68,2.7847250000000003,25271.54592113902
69,2.9247453333333335,36258.409517383356
70,3.2336283333333338,53165.465455261896
71,3.3544367500000014,40873.527968376446
72,2.8522949166666662,31918.2804566642
